Task #,Driver,Forklift,Workcenter,Part No,Status,Name,Creation Time,Start Time,End Time,Duration (m:s),Distance
10695,Linde 15,Linde 15,Assembly-4,84151-T20-A110-M1-NH900L-HCM,Completed,F/G Put Away,11/28/22 08:24 AM,11/28/22 08:44 AM,11/28/22 08:45 AM,00:37,0
10694,Linde 15,Linde 15,Assembly-3,84131-T20-A010-M1-NH900L-HCM,Completed,F/G Put Away,11/28/22 08:24 AM,11/28/22 08:44 AM,11/28/22 08:44 AM,00:01,0
10693,Linde 17,Linde 17,Assembly-11,77380-T20-A010-M1-NH900L-HCM,Completed,F/G Put Away,11/28/22 08:23 AM,11/28/22 08:30 AM,11/28/22 08:30 AM,00:01,0
10692,Linde 17,Linde 17,Assembly-11,77380-T20-A010-M1-NH900L-WIP,Completed,Replenishment,11/28/22 08:21 AM,11/28/22 08:30 AM,11/28/22 08:30 AM,00:01,0
10691,Linde 17,Linde 17,Assembly-10,71191-T20-A610-M1-NH696L-WIP,Completed,Replenishment,11/28/22 08:20 AM,11/28/22 08:30 AM,11/28/22 08:30 AM,00:02,0
10690,Linde 11,Linde 11,Assembly-7,84111-T20-A016-C3-NH900L-HCM,Completed,F/G Put Away,11/28/22 08:16 AM,11/28/22 08:35 AM,11/28/22 08:41 AM,05:36,0
10689,Linde 15,Linde 15,Assembly-6,84161-T20-A016-C3-NH900L-HCM,Completed,F/G Put Away,11/28/22 08:16 AM,11/28/22 08:34 AM,11/28/22 08:36 AM,01:51,76
10688,Linde 11,Linde 11,Assembly-5,84101-T20-A110-M1-NH900L-HCM,Completed,F/G Put Away,11/28/22 08:16 AM,11/28/22 08:31 AM,11/28/22 08:35 AM,03:55,0
10687,Linde 11,Linde 11,Assembly-2,84181-T20-A010-M1-NH900L-HCM,Completed,F/G Put Away,11/28/22 08:14 AM,11/28/22 08:30 AM,11/28/22 08:30 AM,00:02,0
10686,Linde 17,Linde 17,Assembly-11,77380-T20-A010-M1-NH900L-HCM,Completed,F/G Put Away,11/28/22 08:10 AM,11/28/22 08:11 AM,11/28/22 08:11 AM,00:01,0
10685,Linde 17,Linde 17,Assembly-10,71190-T20-A610-M1-NH696L-HCM,Completed,F/G Put Away,11/28/22 08:10 AM,11/28/22 08:10 AM,11/28/22 08:10 AM,00:09,0
10684,Linde 15,Linde 15,Assembly-8,84191-T20-A010-M1-NH900L-WIP,Completed,Replenishment,11/28/22 08:10 AM,11/28/22 08:30 AM,11/28/22 08:34 AM,04:40,259
10683,Linde 15,Linde 15,Assembly-7,84111-T20-A016-C3-NH900L-HCM,Completed,F/G Put Away,11/28/22 08:08 AM,11/28/22 08:29 AM,11/28/22 08:30 AM,00:38,0
10682,Linde 15,Linde 15,Assembly-7,84111-T20-A016-C2-NH900L-WIP,Completed,Replenishment,11/28/22 08:08 AM,11/28/22 08:29 AM,11/28/22 08:29 AM,00:01,0
10681,Linde 15,Linde 15,Assembly-4,84151-T20-A110-M1-NH900L-HCM,Completed,F/G Put Away,11/28/22 08:08 AM,11/28/22 08:29 AM,11/28/22 08:29 AM,00:01,0
10680,Linde 15,Linde 15,Assembly-6,84161-T20-A016-C3-NH900L-HCM,Completed,F/G Put Away,11/28/22 08:02 AM,11/28/22 08:29 AM,11/28/22 08:29 AM,00:02,0
10679,Linde 11,Linde 11,Assembly-5,84101-T20-A110-M1-NH900L-HCM,Completed,F/G Put Away,11/28/22 08:02 AM,11/28/22 08:29 AM,11/28/22 08:30 AM,00:53,0
10678,Linde 17,Linde 17,Assembly-11,77380-T20-A010-M1-NH900L-HCM,Completed,F/G Put Away,11/28/22 08:00 AM,11/28/22 08:06 AM,11/28/22 08:06 AM,00:01,0
10677,Linde 15,Linde 15,Assembly-7,84111-T20-A012-21-NH900L-WIP,Completed,Replenishment,11/28/22 08:00 AM,11/28/22 08:24 AM,11/28/22 08:29 AM,04:19,617
10676,Linde 15,Linde 15,Assembly-6,84161-T20-A016-C2-NH900L-WIP,Completed,Replenishment,11/28/22 08:00 AM,11/28/22 08:24 AM,11/28/22 08:24 AM,00:01,0
10675,Linde 11,Linde 11,Assembly-7,84111-T20-A016-C3-NH900L-HCM,Completed,F/G Put Away,11/28/22 07:58 AM,11/28/22 08:16 AM,11/28/22 08:23 AM,06:14,0
10674,Linde 11,Linde 11,Assembly-2,84181-T20-A010-M1-NH900L-HCM,Completed,F/G Put Away,11/28/22 07:58 AM,11/28/22 08:16 AM,11/28/22 08:16 AM,00:02,0
